Fornavne til kvinder pr. 1. januar 2015

Navn	ANTAL
MIRA	973
BENTHE	964
KRISTA	949
BENEDICTE	941
SUSSIE	931
MIRIAM	920
LIZZI	918
AMINA	915
SILJA	910
SISSEL	902
EMMY	889
ALBA	888
AYSE	886
BRITA	886
JUNE	884
ANNE-GRETHE	883
KAYA	882
GERTRUD	875
LINETTE	864
VICKI	862
NATALIA	861
PETRA	859
KIA	852
JOANNA	847
ANA	846
KATHARINA	846
KATHE	846
LISETTE	832
VIKTORIA	829
LEILA	827
LYDIA	823
AUGUSTA	816
SANDIE	816
TINNA	814
LINEA	807
JULIANE	805
ERIKA	803
MARTA	802
VANESSA	802
KAMILLE	801
BOLETTE	799
MERETHE	797
DORIT	787
MICHELLA	785
MICHALA	768
EVY	759
SIRI	754
THERESA	751
DANIELLA	745
LINNEA	745
MOLLY	741
MARIANE	736
DORA	734
ELSE-MARIE	733
SUZANNE	729
ENA	727
VINNI	718
ÅSE	715
KATARZYNA	712
BIRGITH	710
LILI	710
ZAHRA	693
STEFANIE	685
ZENIA	682
HILDA	679
ELVIRA	676
TANIA	664
KATARINA	662
ANN-SOFIE	658
SOLVEJ	655
LONNI	653
AGNIESZKA	649
KIT	646
MAGDA	646
STINNE	646
ISABELL	639
DIDDE	638
LEONORA	638
INGERLISE	636
MELINA	633
XENIA	630
ELLINOR	628
SELINA	626
TERESA	626
LUISE	624
MARTINE	624
JEANET	623
JUTTA	623
LUCCA	623
MAGDALENA	623
ELINE	620
VINNIE	617
MARYAM	616
MONIQUE	615
SIDSE	615
ALINA	610
CILLE	608
JACQUELINE	603
NETE	600
SUSIE	599
HATICE	598
EMINE	595
RAGNA	593
AISHA	591
ALEKSANDRA	588
NIKITA	588
NAYA	584
FIONA	582
KARNA	575
LILY	575
CATHARINA	572
INGER-LISE	572
PAULA	571
CATRINE	569
GERD	569
BIBI	565
URSULA	565
DENISE	564
MAIA	560
LISSIE	559
META	555
TANYA	554
VALBORG	553
EWA	550
MALGORZATA	550
LARA	549
MARTINA	547
GABRIELLA	546
VILMA	546
BRIT	544
VIBE	544
THORA	541
GHITA	540
MILLA	540
IMAN	539
LENETTE	538
LIZETTE	538
LAJLA	536
MINA	535
NORMA	528
DANIELA	527
ELLIS	526
JESSIE	519
KAROLINA	519
VERONICA	519
LEAH	518
MARION	515
SHEILA	514
ZAINAB	514
HJØRDIS	513
PAULINE	513
MIKKELINE	511
AMAL	510
MICHAELA	507
JILL	506
ANNA-LISE	504
IRINA	504
VICKY	504
NATACHA	503
SAMIRA	499
ZEYNEP	499
AIDA	497
DORTHEA	493
MELISA	493
BONNIE	492
ANIKA	489
CRISTINA	487
CÆCILIE	481
JOY	478
ELI	477
MICHELE	474
CHRISTIANE	473
CORNELIA	473
HEDVIG	473
KARI	473
ALIS	471
VEGA	469
EMMELIE	468
FLORA	466
OLINE	465
POULA	463
GRETA	459
NELLY	459
ANNA-MARIE	453
MAY	452
CARMEN	450
KIMMIE	450
LUCIA	447
ANGELA	446
ANGELINA	446
SASHA	441
WINNI	441
AMY	439
ANITTA	439
METHA	438
LOUISA	436
TEA	436
JUDY	434
WILMA	431
IDA-MARIE	429
MY	429
ANNE-GRETE	425
TATIANA	424
GUNVOR	423
REGINA	422
JASMINA	420
AMIRA	415
DEA	414
ELINOR	414
EVELYN	411
MIMI	411
ELINA	410
BIRTHA	403
CAROLINA	402
GYDA	401
ELVA	399
LISS	395
BJØRG	394
SALMA	394
GUNVER	392
HARRIET	392
TERESE	391
JOHNNA	390
SILVIA	389
BEATE	387
KATINKA	379
NADINE	376
MAIBRIT	375
SIA	375
JANET	374
JEANNIE	372
PUK	372
RUNA	372
MADELEINE	371
MARGOT	371
CINDY	369
PAULINA	365
KIM	364
CASSANDRA	363
BJØRK	362
LIZA	362
MAY-BRITT	362
SUSANNA	362
ANINE	361
MYRNA	361
ANNE-SOPHIE	358
BEATA	357
BRIGITTE	357
AZRA	356
NAOMI	356
NELLIE	355
ANNE-DORTHE	354
ULRIKKE	353
MANJA	351
IRENA	350
RITTA	350
ALICIA	349
MALIKA	349
KERSTIN	348
KRISTIN	348
ELIF	345
FANNY	344
MIKALA	344
SIV	344
HANAN	343
BELLA	342
KATRIN	342
ANASTASIA	341
IZABELLA	341
BERITH	340
NADA	340
VALENTINA	339
SUZAN	338
GABRIELA	337
SIFF	337
KITTY	335
RACHEL	335
SVETLANA	335
CECILLIE	334
MARIANNA	334
MAYBRITT	333
SYLVIA	333
ELZBIETA	332
AMELIA	331
BERTHA	331
MERYEM	330
SACHA	329
LEJLA	325
MARIT	323
THYRA	323
ISABELLE	322
KÄTHE	322
NOVA	322
SAHRA	322
NINI	320
CHALOTTE	318
DIANNA	317
GRITH	317
LONA	317
CATHERINE	315
GINA	315
MILA	315
SAMANTHA	315
VERONIKA	315
ANNEGRETHE	314
ANNABELL	312
MALAK	312
DANA	310
LOLA	309
SONIA	309
DANIELLE	307
LEYLA	307
SIMONA	306
ILONA	305
KITT	305
NEEL	304
ELKE	303
TINNE	303
JENNIE	302
KHADIJA	302
ALVA	298
LONNY	297
JOLANTA	296
MYNTE	296
BIRGITTA	295
DEBBIE	295
ALLIS	294
EMINA	294
JEAN	294
CLAIRE	293
MARGARET	293
LILJE	292
RABIA	292
RENATA	292
CHILI	290
MARNA	290
ELSEBET	288
MICHELA	288
HELLA	287
JANA	287
YASEMIN	287
LISSA	284
ZOE	283
PIL	276
SASJA	276
ESTRID	275
MERVE	275
SANNA	275
AJA	274
DOROTA	274
FADIME	274
TONE	273
GITTA	272
GRO	272
KRISTIANE	272
ROSEMARIE	271
BETH	270
INGE-MARIE	270
NANNY	270
CHANETTE	269
CELIA	268
SAHAR	268
PHILIPPA	267
ESRA	266
ADRIANA	264
GRACE	264
HANA	264
ISA	264
MAISE	263
ANN-MARIE	262
MARIKA	262
LENI	260
ERICA	259
RENATE	259
SANNI	259
ANNESOFIE	258
NOOR	256
EDNA	255
MITZI	255
OLENA	255
ZARA	255
TAMARA	254
ANN-BRITT	253
LINN	253
ANNE-DORTE	252
MEDINA	252
MILENA	252
NOUR	251
GUNNA	250
JAMILA	250
KAREN-MARGRETHE	250
ANNE-LOUISE	249
SANA	249
ZEINAB	249
RINA	248
IRYNA	247
TATJANA	247
TONI	245
JUSTYNA	244
KRYSTYNA	244
	244
CIRKELINE	243
GITHA	243
MARIANA	243
MIRJAM	243
ANGELIKA	242
KIS	242
SULTAN	241
DAISY	240
SIW	240
TESSA	240
NINETTE	239
JANIE	238
JELENA	238
FELICIA	235
IWONA	235
STINNA	235
BENDE	234
VICKIE	234
ADA	233
OKSANA	233
GISELA	231
SAGA	231
ANNEGRETE	230
INGE-MERETE	229
INGER-MARIE	228
LULU	228
SYLWIA	228
MARGITH	227
ANNE-KATRINE	226
JENNI	226
ANN-LOUISE	225
FATEMEH	225
KIKI	225
WIVI	225
RANA	224
MYNTHE	223
EDA	222
FADUMO	222
ALBERTHE	221
ASMA	221
IZABELA	221
MARIJA	221
ANNA-GRETHE	220
ESMA	220
ALIA	218
AMALIA	218
CAJA	218
ELISABET	218
MIHAELA	218
PETRINE	218
MELIKE	217
NAIA	217
MANUELA	216
ANN-MARI	215
AVIAJA	215
HALIMA	215
SINNE	215
ELEONORA	214
HELIN	214
ELLI	213
HUDA	212
MUNA	212
ZOFIA	212
ALICJA	210
KATRINA	209
LILJA	209
ZEHRA	209
BEATRICE	208
TARA	208
AGATA	207
MARWA	207
MELEK	207
NAIMA	207
SIBEL	207
DILEK	206
GRETHA	206
MAGDALENE	206
FARAH	205
INES	205
LIVIA	205
SYS	205
ZELIHA	205
ZITA	205
HERTHA	204
ANISA	203
MAGNA	203
MALIN	203
MAJ-BRIT	202
MAJSE	202
TABITA	202
MAGGIE	201
SAVANNAH	201
DANUTA	200
HILDE	199
INNA	199
JANINA	199
GAIA	198
KAJSA	198
RAKEL	198
ELIZA	197
LIA	197
NICOLA	197
AVA	196
ELMA	196
JENSINE	196
KAREN-MARIE	196
AINO	195
ANNELI	195
NICKIE	195
AYOE	194
ANDREEA	193
MANAL	192
SUSI	192
SANNIE	191
NOA	190
THIT	190
ETHEL	189
BENITA	188
GUNDA	188
MEJSE	188
SANDY	188
NISA	187
MAHA	186
TONNY	186
CINDIE	185
ANNABELLA	184
BETHINA	184
GRAZYNA	184
KIRSTI	184
ZANDRA	184
ANYA	183
MARI	183
RITHA	183
WENDY	183
HIBA	182
ANNITTA	181
DERYA	181
HACER	181
MONNA	181
ANEMONE	180
ANN-SOPHIE	180
LIDIA	180
MARGRETE	180
TRILLE	180
EMMELI	179
LE	179
KÄTE	178
MARIA-LOUISE	178
LANA	177
LIN	177
CATJA	176
ELA	176
JASMINE	176
DILARA	175
DINNA	175
EBRU	175
SAFIA	175
ANETA	174
JO	174
VILDE	174
FILUCA	173
KATHLEEN	173
ANNE-KATHRINE	172
MATHILDA	172
FATME	171
HÜLYA	171
MADELINE	171
ANNE-MARGRETHE	170
KAMILA	170
SEVIM	170
UNNI	170
ANTONIA	169
DENICE	169
ANNITA	168
DARIA	168
HALINA	168
JYTTA	168
MOLLIE	168
ESME	167
KONNY	167
LITA	167
LUISA	167
MARITA	167
AICHA	166
LAYLA	166
AMANI	165
EDINA	165
FREIA	165
NAWAL	165
MEGAN	164
BUSHRA	163
DALIA	163
KAISA	163
SANJA	163
ASMAA	162
DIANE	162
HALIME	162
KLAUDIA	162
SUSSE	162
FENJA	161
FRIEDA	161
GUNILLA	161
HEIKE	161
PATRYCJA	161
SADIA	161
