Fornavne til mænd pr. 1. januar 2015

Navn	ANTAL
VILHELM	587
INGOLF	576
GREGERS	574
HAMZA	569
ANDY	568
TORE	567
JAMIE	566
SAMIR	562
RALF	544
RYAN	542
JOSEF	540
KHALED	539
LUKASZ	537
HASSE	535
ANDRZEJ	527
CONRAD	522
KLAVS	520
DENIZ	516
MAREK	516
ANAS	515
IVAR	513
ANDRE	511
WALTHER	508
RUDI	507
MATTIAS	506
FREJ	504
JOSEPH	500
LOUIE	499
HEINO	498
YASIN	497
JASON	494
GRZEGORZ	491
MILAS	490
JOSHUA	486
MICKEY	485
MURAT	482
SAID	481
PIERRE	480
DITLEV	478
MARCEL	478
NICKY	478
ELO	477
ROLAND	477
BUSTER	476
JEFF	476
HERMAN	475
FRANS	473
MILO	473
SVEND-ERIK	469
ASMUS	467
RONALD	467
TINO	466
LUIS	462
CASPAR	458
HANS-JØRGEN	458
KASPAR	457
KRIS	453
TOR	446
JONNY	445
HECTOR	443
XANDER	439
CORNELIUS	438
RICO	437
GEORGE	431
MILAN	431
IVER	427
WALTER	427
GERHARD	423
MIKAIL	422
MARIUSZ	420
DION	417
ROMAN	417
LOKE	415
HALFDAN	413
LOUI	413
JUAN	411
KHALID	411
ASK	408
RICKY	408
LUKA	407
AMIN	406
EINAR	406
CARLOS	403
HELMER	402
JOSE	402
OLEKSANDR	402
FREDRIK	401
EDVARD	399
FOLMER	396
YOUSSEF	396
ANTHONY	393
JAKUB	393
BERNT	391
KELL	391
JAMAL	389
ARTUR	387
EDDIE	387
THORSTEN	387
ANTONIO	386
PATRIK	385
YOUSEF	385
MATTHEW	384
BORIS	383
ELI	383
JARL	381
BERTEL	378
KARLO	376
RAMAZAN	376
GEERT	375
THORVALD	374
DARIUSZ	370
THORKIL	369
EJLER	367
FREDDIE	366
SYED	366
UWE	366
NIELS-ERIK	365
ENES	364
ADEM	359
LINDY	356
EMIR	355
TEIS	355
ABDI	353
JASPER	352
RAFAL	352
ANDREI	350
CHRESTEN	349
HAMID	349
MARIO	349
BILL	348
EVAN	348
ALVIN	347
NOA	344
SAM	344
FRANZ	343
HANNIBAL	341
SOPHUS	341
CARL-EMIL	337
ARVID	336
KAMIL	335
JACKIE	334
JUSTIN	334
WILHELM	334
MARINUS	332
YUNUS	332
WOJCIECH	331
WALID	329
HANS-CHRISTIAN	328
HELMUTH	328
KENAN	328
NIKOLAS	328
BERNHARD	327
JOEL	327
IGOR	324
DANNIE	323
HÜSEYIN	322
VALENTIN	321
NICO	320
TORKILD	320
KARIM	319
BENGT	318
CURT	318
DAMIAN	317
MIK	317
HENRI	315
ÖMER	315
THUE	314
MACIEJ	313
BOYE	312
RICKI	312
JANN	311
ZANDER	311
LEJF	309
FABIAN	308
HAKAN	308
HALIL	308
HEINZ	306
KAY	304
ABBAS	302
EMRE	301
MICKI	301
RICHARDT	301
EDWARD	298
JACEK	298
FIND	297
ANTHON	296
JENS-ERIK	296
NOR	295
RENE'	294
GERNER	293
KNUD-ERIK	293
HANS-ERIK	292
MARVIN	291
WALDEMAR	291
ALEXANDRU	290
ISAAC	288
DEAN	287
ALEKSANDAR	286
MATEUSZ	286
NICHOLAI	286
ABDIRAHMAN	285
VILFRED	285
RUDOLF	284
ESKIL	282
MIGUEL	282
ESKE	281
NIELS-JØRGEN	280
THYGE	280
LUI	279
JOHANN	278
CRISTIAN	277
FRANDS	277
ELMER	275
GLEN	274
MADS-EMIL	274
ZACHARIAS	273
BENNO	270
TOMMI	270
VILLIAM	269
FATIH	268
RALPH	268
SEYED	267
ZAKARIA	267
JAROSLAW	265
KEMAL	265
TONI	265
BOGDAN	264
YOUNES	264
ARNOLD	263
MIKAS	263
VAGNER	263
HERBERT	262
PAULI	262
ROAR	260
MAHDI	258
MARKO	258
ARON	257
ABDULLAHI	254
RAMI	253
