Fornavne til mænd pr. 1. januar 2013

Navn	ANTAL
HASSE	533
ABDULLAH	529
IVAR	528
ANDRE	527
KLAVS	522
RYAN	522
JOSEF	515
RUDI	507
PAWEL	503
HEINO	501
DENIZ	496
THEO	494
WALTHER	492
MATTI	489
ELO	488
MATTIAS	486
BIRK	484
SVEND-ERIK	484
FRANS	480
MICKEY	479
NICKY	478
HAMZA	476
JEFF	476
RONALD	476
MURAT	474
ROLAND	474
HANS-JØRGEN	473
PIERRE	472
KASPAR	466
KHALED	462
JAMIE	460
CASPAR	459
YASIN	457
JOSEPH	456
ANDRZEJ	455
ASMUS	455
HELMER	451
JONNY	450
JASON	449
KRIS	449
GERHARD	447
IVER	444
JOSHUA	442
SAID	442
MARCEL	441
TOR	441
DITLEV	440
FOLMER	440
ANAS	439
RICO	435
TINO	434
EINAR	423
HERMAN	419
CONRAD	416
BERNT	414
FREJ	414
LUKASZ	414
DION	413
ELI	411
THORVALD	410
EDVARD	408
MAREK	408
RICKY	408
GRZEGORZ	406
KELL	403
GEORGE	400
BUSTER	399
VILLUM	395
KARLO	392
FREDRIK	391
GEERT	388
LUIS	388
THORSTEN	388
MIKAIL	387
THORKIL	387
EJLER	386
WALTER	384
HALFDAN	383
LOUIE	382
JUAN	380
UWE	379
KHALID	378
ANTHONY	377
BORIS	377
FREDDIE	375
YOUSSEF	375
LINDY	371
RAMAZAN	371
ROMAN	369
BERTEL	367
JARL	367
NIELS-ERIK	367
HELMUTH	366
CARLOS	365
JOSE	365
CHRESTEN	364
LOKE	362
ASK	361
JAMAL	359
MILAN	357
EDDIE	356
PATRIK	354
FRANZ	352
OLEKSANDR	352
TEIS	349
ARVID	348
BILL	348
EVAN	347
MARIUSZ	346
AMIN	345
JASPER	344
BERNHARD	343
ENES	343
JACKIE	343
ANTONIO	342
XANDER	340
ADEM	339
KAY	339
MATTHEW	339
CURT	338
SYED	337
BENGT	336
LUKA	335
HANS-CHRISTIAN	332
LOUI	332
ABDI	331
HECTOR	331
MARINUS	329
MILO	329
LEJF	327
SOPHUS	327
MARIO	326
TORKILD	326
HAMID	325
HENRI	324
DANNIE	323
ARTUR	320
BOYE	320
HEINZ	320
JANN	320
MIK	320
RICHARDT	320
HÜSEYIN	319
SAM	319
YOUSEF	319
CORNELIUS	316
THUE	315
JAKUB	313
JUSTIN	311
MILAS	311
RENE'	311
RICKI	310
GERNER	309
KNUD-ERIK	309
YUNUS	308
EMIR	306
FIND	306
HANNIBAL	306
JOEL	304
HANS-ERIK	303
NIKOLAS	303
RUDOLF	303
HALIL	302
CARL-EMIL	301
DARIUSZ	300
JENS-ERIK	300
KENAN	300
EMRE	299
HAKAN	299
KARIM	299
NICO	299
WILHELM	299
ABBAS	298
VAGNER	298
NOA	294
ÖMER	294
JOHANN	293
MICKI	292
WALID	292
IGOR	289
NIELS-JØRGEN	289
NICHOLAI	288
FRANDS	287
THYGE	284
FABIAN	282
RAFAL	282
EDWARD	281
KAMIL	280
PAULI	279
DEAN	278
ELMER	277
MACIEJ	277
ARNOLD	275
BENNO	275
GLEN	275
ANTHON	274
ALVIN	273
TOMMI	273
RALPH	272
ANDREI	269
HERBERT	269
ESKIL	266
FATIH	266
KEMAL	265
MIGUEL	265
WOJCIECH	264
ESKE	263
JACEK	263
VILLIAM	263
ROAR	262
ALEKSANDAR	260
REGNAR	259
AGNER	258
MADS-EMIL	256
TONI	256
VALENTIN	256
ABDIRAHMAN	253
DAMIAN	253
JÜRGEN	253
JOHNNIE	251
HACI	248
JOHNY	248
ZACHARIAS	248
JIMMIE	247
JENS-CHRISTIAN	244
NIELS-HENRIK	244
MARKO	243
ZANDER	242
JOE	241
INGVARD	239
EIVIND	238
ÅGE	238
WOLFGANG	236
LUI	235
MARVIN	235
NIKI	235
MARCK	234
ISMET	232
YOUNES	232
ZAKARIA	232
ISAAC	231
ROALD	231
ABDULLAHI	230
NICKOLAJ	230
WALDEMAR	230
ARON	229
FRANTZ	229
NICKOLAI	229
RAMI	229
MAHDI	228
ADEL	227
ARLY	227
BØJE	227
HARIS	227
HARTVIG	226
SEYED	226
JAROSLAW	225
MANFRED	225
SCOTT	225
THANH	225
OMER	224
HERMANN	222
BOGDAN	221
EDIN	221
METIN	220
MIKI	220
MUSA	220
FIN	219
KHALIL	219
SIGFRED	219
RENÈ	218
SLAWOMIR	218
EDVIN	216
TERKEL	216
ALEXANDRU	215
TORKIL	215
ARNO	214
MANUEL	214
RAYMOND	214
CRISTIAN	213
ORHAN	213
ZAKARIAS	211
KUNO	210
TORBJØRN	210
TIMOTHY	209
HADI	208
NABIL	208
FRANTS	206
GUDMUND	206
GÜNTHER	204
OSVALD	204
SINAN	204
SVEN-ERIK	204
HJALMAR	203
MATEUSZ	203
SONNI	203
ZBIGNIEW	203
IMRAN	202
VLADIMIR	202
ESPEN	200
HUBERT	199
JACQUES	199
NIKKI	199
SVEND-AAGE	199
BERND	198
EMMANUEL	198
MIKAS	198
ROGER	198
KJELL	197
ARMIN	196
BAYRAM	196
ROY	196
VILFRED	196
BALDER	195
BENNI	195
MEHDI	195
LYNGE	194
JERRY	193
KAMAL	193
	192
EDMUND	191
TAIS	191
BOB	190
EJLIF	190
HUSSAIN	190
JEFFREY	190
MUHAMED	190
ABDALLAH	189
EMANUEL	189
KARL-EMIL	189
REZA	188
ASKER	187
DANN	187
ROBERTO	187
FERHAT	186
SALAH	186
ELVIN	185
EMIN	185
JENS-PETER	185
KJARTAN	185
MIHAI	185
THORBEN	185
LEANDER	184
MICAS	184
ZORAN	184
MAXIMILIAN	183
TARIK	183
ABDEL	182
HAKON	182
THØGER	182
DAWID	181
EGIL	181
HORST	181
MAHMUT	181
SVENNING	181
BURAK	180
INGVAR	180
ERWIN	179
SALIH	179
NILAS	178
PRZEMYSLAW	178
JASMIN	177
CONSTANTIN	176
ERVIN	176
KADIR	176
JENS-OLE	174
MATTIS	174
DIETER	173
FRANCISCO	173
MATS	173
MUSTAPHA	173
SENAD	173
BROR	172
MORGAN	172
TJALFE	172
WILLADS	172
ALEN	171
JARI	171
NIKOLA	171
EILIF	170
SAAD	169
THORE	169
GORAN	168
HARLY	168
WILLI	168
DIRK	167
PHILIPPE	167
THAIS	167
HANS-PETER	166
JOEN	166
MERT	166
MIROSLAW	166
AMER	165
ARKADIUSZ	165
MINH	165
