Fornavne til kvinder pr. 1. januar 2013

Navn	ANTAL

ANNE	47238
KIRSTEN	44650
HANNE	40297
METTE	39156
ANNA	35649
HELLE	34562
SUSANNE	31823
LENE	31500
MARIA	28365
MARIANNE	27598
INGE	27383
KAREN	27380
LONE	25909
BENTE	25411
CAMILLA	24734
PIA	24520
JETTE	24064
CHARLOTTE	23881
LOUISE	23856
INGER	23668
GITTE	23404
TINA	23385
ELSE	22103
BIRGIT	21347
RIKKE	21080
JULIE	20992
BIRTHE	20853
JYTTE	19015
ULLA	18736
CHRISTINA	18719
MARIE	18336
PERNILLE	18315
IDA	18221
TOVE	17898
SOFIE	17284
ANNETTE	17192
LINE	17114
EMMA	16981
LIS	16882
HEIDI	16452
ANETTE	15662
KARIN	15640
EVA	15610
GRETHE	15477
BIRGITTE	15173
CECILIE	15137
LAURA	15051
DORTHE	14821
LISBETH	14241
ELLEN	13872
SIGNE	13593
BODIL	13250
TRINE	13157
DORTE	12531
RUTH	12297
MAJA	12222
KATRINE	12166
VIBEKE	11987
NANNA	11961
LISE	11693
KARINA	11603
STINE	11535
MATHILDE	11295
JANE	11258
SARA	11225
EMILIE	11153
MALENE	11118
CAROLINE	10856
AASE	10541
ANJA	10528
SARAH	10316
LINDA	10209
INGRID	9856
ANNI	9631
MIA	9496
NINA	9256
GERDA	9197
AMALIE	9106
MONA	8742
SONJA	8667
FREJA	8378
HENRIETTE	8278
INGA	8037
LOTTE	8034
JEANETTE	7985
ANITA	7835
ALICE	7833
TINE	7790
MARGIT	7758
LÆRKE	7555
JONNA	7469
ASTRID	7331
MICHELLE	7280
DITTE	7223
RITA	7174
JOHANNE	7113
EDITH	6922
000	6762
LAILA	6756
ELISABETH	6740
BRITTA	6696
JOSEFINE	6643
CONNIE	6619
ANN	6614
ISABELLA	6612
BETTINA	6560
MIE	6548
SIMONE	6457
HELENE	6387
BIRTE	6380
JOAN	6314
KRISTINA	6073
CLARA	5986
MERETE	5958
TANJA	5942
LENA	5811
KATHRINE	5738
SANNE	5665
IRENE	5502
LISA	5427
FREDERIKKE	5378
LEA	5367
